Review Text,Prediction,Error Type
"Further to previous complaint about NEST Pensions. The polite response is as meaningless as the 3 'We are still dealing with your complaint' letters and 3 phonecalls received which give assurances that the complaint would be addressed and resolved ( 24th December 2024 date provided by NEST as a resolution date, nothing done. 3rd January 2025 , date provided by NEST for resolution date, nothing done). NEST Pensions = Pension Scam",customer service##Customer Support##polite but meaningless##negative,Undergeneration
"Further to previous complaint about NEST Pensions. The polite response is as meaningless as the 3 'We are still dealing with your complaint' letters and 3 phonecalls received which give assurances that the complaint would be addressed and resolved ( 24th December 2024 date provided by NEST as a resolution date, nothing done. 3rd January 2025 , date provided by NEST for resolution date, nothing done). NEST Pensions = Pension Scam",trust##Trust & Reliability##Pension Scam##negative,Undergeneration
"They're brilliant until you set a retirement date, then the day it's due they add 5 years on. There's a lot of trusted sites out there, try one of them before you lose access to your long awaited pension.",retirement date##Fund Management##brilliant##positive,Hallucination
"They're brilliant until you set a retirement date, then the day it's due they add 5 years on. There's a lot of trusted sites out there, try one of them before you lose access to your long awaited pension.",retirement date##Fund Management##add 5 years on##positive,Hallucination
"They're brilliant until you set a retirement date, then the day it's due they add 5 years on. There's a lot of trusted sites out there, try one of them before you lose access to your long awaited pension.",trusted sites##Website & Usability##trust##positive,Hallucination
"They're brilliant until you set a retirement date, then the day it's due they add 5 years on. There's a lot of trusted sites out there, try one of them before you lose access to your long awaited pension.",access##Account & Access##lost##negative,Hallucination
"They're brilliant until you set a retirement date, then the day it's due they add 5 years on. There's a lot of trusted sites out there, try one of them before you lose access to your long awaited pension.",they##Trust & Reliability##brilliant until##negative,Undergeneration
"They're brilliant until you set a retirement date, then the day it's due they add 5 years on. There's a lot of trusted sites out there, try one of them before you lose access to your long awaited pension.",pension##Account & Access##lose access##negative,Undergeneration
"Clear information given beforehand, very easy to action and quick to do. Informed every step of the way during the transition and transparency at every stage.
 Made what I thought would be a difficult thing to do, very very easy. Thank you",information##Transparency & Communication##clear##positive,Hallucination
"Clear information given beforehand, very easy to action and quick to do. Informed every step of the way during the transition and transparency at every stage.
 Made what I thought would be a difficult thing to do, very very easy. Thank you",action##Process & Onboarding##easy##positive,Hallucination
"Clear information given beforehand, very easy to action and quick to do. Informed every step of the way during the transition and transparency at every stage.
 Made what I thought would be a difficult thing to do, very very easy. Thank you",transparency##Transparency & Communication##transparency##positive,Wrong Aspect/Opinion
"Clear information given beforehand, very easy to action and quick to do. Informed every step of the way during the transition and transparency at every stage.
 Made what I thought would be a difficult thing to do, very very easy. Thank you",transition##Transparency & Communication##informed##positive,Hallucination
"Clear information given beforehand, very easy to action and quick to do. Informed every step of the way during the transition and transparency at every stage.
 Made what I thought would be a difficult thing to do, very very easy. Thank you",process##Process & Onboarding##difficult##positive,Hallucination
"Clear information given beforehand, very easy to action and quick to do. Informed every step of the way during the transition and transparency at every stage.
 Made what I thought would be a difficult thing to do, very very easy. Thank you",process##Process & Onboarding##very very easy##positive,Hallucination
"Clear information given beforehand, very easy to action and quick to do. Informed every step of the way during the transition and transparency at every stage.
 Made what I thought would be a difficult thing to do, very very easy. Thank you",every step of the way##Transparency & Communication##Informed##positive,Undergeneration
"Clear information given beforehand, very easy to action and quick to do. Informed every step of the way during the transition and transparency at every stage.
 Made what I thought would be a difficult thing to do, very very easy. Thank you",at every stage##Transparency & Communication##transparency##positive,Undergeneration
"Clear information given beforehand, very easy to action and quick to do. Informed every step of the way during the transition and transparency at every stage.
 Made what I thought would be a difficult thing to do, very very easy. Thank you",information given beforehand##Process & Onboarding##Clear##positive,Undergeneration
"You have locked me out of my account and there is no one to speak to to correct this. I have been trying to withdraw my pension and you keep asking me to submit information I do not have.
 I then received an email with a contact number and was able to contact your staff who was extremely helpful and managed to help me access my account and answer my questions. Thank you for responding",account##Account & Access##locked me out##negative,Correct
"You have locked me out of my account and there is no one to speak to to correct this. I have been trying to withdraw my pension and you keep asking me to submit information I do not have.
 I then received an email with a contact number and was able to contact your staff who was extremely helpful and managed to help me access my account and answer my questions. Thank you for responding",staff##Customer Support##extremely helpful##positive,Correct
"You have locked me out of my account and there is no one to speak to to correct this. I have been trying to withdraw my pension and you keep asking me to submit information I do not have.
 I then received an email with a contact number and was able to contact your staff who was extremely helpful and managed to help me access my account and answer my questions. Thank you for responding",account##Account & Access##no one to speak to##negative,Wrong Aspect/Opinion
"You have locked me out of my account and there is no one to speak to to correct this. I have been trying to withdraw my pension and you keep asking me to submit information I do not have.
 I then received an email with a contact number and was able to contact your staff who was extremely helpful and managed to help me access my account and answer my questions. Thank you for responding",withdraw my pension##Fund Management##trying##negative,Wrong Aspect/Opinion
"You have locked me out of my account and there is no one to speak to to correct this. I have been trying to withdraw my pension and you keep asking me to submit information I do not have.
 I then received an email with a contact number and was able to contact your staff who was extremely helpful and managed to help me access my account and answer my questions. Thank you for responding",withdraw my pension##Fund Management##keep asking##negative,Wrong Aspect/Opinion
"You have locked me out of my account and there is no one to speak to to correct this. I have been trying to withdraw my pension and you keep asking me to submit information I do not have.
 I then received an email with a contact number and was able to contact your staff who was extremely helpful and managed to help me access my account and answer my questions. Thank you for responding",contact number##Customer Support##extremely helpful##positive,Wrong Aspect/Opinion
"You have locked me out of my account and there is no one to speak to to correct this. I have been trying to withdraw my pension and you keep asking me to submit information I do not have.
 I then received an email with a contact number and was able to contact your staff who was extremely helpful and managed to help me access my account and answer my questions. Thank you for responding",access my account##Account & Access##helpful##positive,Hallucination
"You have locked me out of my account and there is no one to speak to to correct this. I have been trying to withdraw my pension and you keep asking me to submit information I do not have.
 I then received an email with a contact number and was able to contact your staff who was extremely helpful and managed to help me access my account and answer my questions. Thank you for responding",Customer Support (implicit)##Customer Support##no one to speak to##negative,Undergeneration
"You have locked me out of my account and there is no one to speak to to correct this. I have been trying to withdraw my pension and you keep asking me to submit information I do not have.
 I then received an email with a contact number and was able to contact your staff who was extremely helpful and managed to help me access my account and answer my questions. Thank you for responding",withdraw my pension##Fund Management##information I do not have##negative,Undergeneration
I try to put some money in my work pension. But I findout my nest pension I get when I reach74 .and I find another thing I have to pay tax on my second pension don't understand how snd why we put money from hard work pay taxonomy job and than pay tax on work pension too than I stop to top up money just leave workone,money##Fund Management##try to put some money##negative,Hallucination
