Review Text,Aspect Term,Aspect Category,Opinion Term,Sentiment Polarity,Done,Main,Human
"It was easy, but would be better if I could set up a standing order, so I can budget money going into account. So online banking details would be good.",Onboarding (implicit),Process & Onboarding,easy,positive ,Y,1.0,Y
nan,standing order,Account & Access,would be better,neutral,Y,0.0,Y
I have found using [Company X] very easy and am getting a good return on my pension.,using Nest,Website & Usability,very easy,positive ,Y,1.0,Y
nan,return on my pension,Fund Management,getting a good return,positive ,Y,0.0,Y
"Hello all,

I recently transferred my pension from legal and general to nest that I am happy with.

I like nest platform which is easy to operate and looks good.",transferred,Fund Management,happy with,positive ,Y,1.0,Y
nan,platform,Website & Usability,easy to operate and looks good,positive ,Y,0.0,Y
"I canât see the difference between pension companies, all I wanted is to have all my pension money in current company Iâm paying to ð

Iâm not frustrated about pension system, all I said is I want to keep all my pension money in same company, it was easy to transfer, Iâll see benefits of pension when I start getting my money back ð",transfer,Fund Management,easy,positive ,Y,1.0,Y
"Very user friendly, easy to understand steps to continue contributing after leaving employer. This gives me peace of mind to know I am building a pension pot no matter how big or small for my retirement. Prompt replies to questions are quick and helpful.",usability (implicit),Website & Usability,very user friendly,positive ,Y,1.0,Y
nan,continue contributing,Process & Onboarding,easy to understand steps,positive ,Y,0.0,Y
nan,Prompt replies,Customer Support,quick and helpful,positive ,Y,0.0,Y
It was very easy to transfer my pension into nest and it didn't take long either about 3 weeks and it was all done and dusted.,transfer my pension into nest,Process & Onboarding,"very easy, didn't take long",positive ,Y,1.0,Y
"Thanks to the team for sorting my pension transfer, with pensions being a minefield ,it took a lot of worry away knowing my pension transfer was In safe hands",pension transfer,Customer Support,Thanks to the team for sorting ,positive ,Y,1.0,Y
nan,pension transfer,Trust & Reliability,"took a lot of worry ahead, was in safe hands",positive ,Y,0.0,Y
"[Company X] is safe and reliable, I made a decision for personal contribution monthly since [PhoneNumber], I am been updated ever since about my savings.
Due to their transparency and continuous update, I decided to top up increase for my savings.
This gives me a safe feelings in my retirement, I know I wouldn't be let down when I get older.",Nest,Trust & Reliability,safe and reliable,positive ,Y,1.0,Y
nan,my savings,Transparency & Communication,"been updated ever since, transparency, continuous update",positive ,Y,0.0,Y
nan,my retirement,Trust & Reliability,a safe feeling,positive ,Y,0.0,Y
"The whole process to transfer from my old pension was at first easy,gor me it took far to long to see funds in my [Company X] account in total 10 weeks. Apart from that everything was spot on.",process to transfer,Fund Management,"at first easy, everything was spot on",positive ,Y,1.0,Y
nan,see the funds,Fund Management,"far too long, 10 weeks",negative,Y,0.0,Y
"My wife has a very small pension to be taken as a small pot. The website just didn't work so she's been trying to get the small amount back on the phone. She's been promised the money will be paid out three times now, filled in forms and sent her marriage and birth certificates off twice. The calls are always answered by someone with a difficult to understand accent on a faint crackly line. The person always says this isn't my department but I'll try to help and then they don't and we go back round the merry go round again...
Utter, utter frustrating crap.

You might be happy with them handling your pension but woe betide you if you actually want YOUR money out.

This process was started in October [PhoneNumber]. It's now late December and they've told us it should happen in the next 15 days for the third time. I'm initiating court action now to be served Monday January 20.

I will post the result on our youtube channel.",The website,Website & Usability,just didn't work,negative,Y,1.0,Y
nan,The calls,Customer Support,are always answered by someone with a difficult to understand accent on a faint crackly line,negative,Y,0.0,Y
nan,customer support (implicit) ,Customer Support,"Utter, utter frustrating crap.",negative,Y,0.0,Y
nan,trust (implicit),Trust & Reliability,initiating court action,negative,Y,0.0,Y
I know my pension is safe and my children will have something to hold on to or me if I retire I will alright financially,pension,Trust & Reliability,safe,positive ,Y,1.0,Y
nan,I will be,Trust & Reliability,alright financially,positive ,Y,0.0,Y
Used online service to transfer money. Straight forward quick and easy process and kept updated throughout,online service,Website & Usability,straight forward quick and easy, positive,Y,1.0,Y
nan,transfer money,Transparency & Communication,kept updates throughout,positive ,Y,0.0,Y
"Hassle free, easy to log-in. I called to update my contributions, it was so easy and the person I spoke to was super helpful and friendly.",log-in,Account & Access,"Hassle free, easy",positive ,Y,1.0,Y
nan,update my contributions,Fund Management,so easy,positive ,Y,0.0,Y
nan,the person I spoke to ,Customer Support,super helpful and friendly,positive ,Y,0.0,Y
Amazingly easy to transfer other pensions into my nest account. Found the whole thing so smooth.,transfer other pensions,Fund Management,Amazingly easy,positive ,Y,1.0,Y
nan,the whole thing,Process & Onboarding,so smooth,positive ,Y,0.0,Y
"Unbelievably simple, [Company X] Pensions did everything, so no hassle and kept me informed throughout.",Onboarding (implicit),Process & Onboarding,"Unbelievably simple, so no hassle",positive ,Y,1.0,Y
nan,Process (implicit),Process & Onboarding,kept me informed throughout,positive ,Y,0.0,Y
"They make every excuse to not transfer your funds, the money you earned. I've been trying to transfer my funds for over a year and there is always a new hoop to jump through. I've spoken to so many people and messaged and they always say the funds will be transferred and then they have another excuse. Use Pension Bee or Standard Life, they actually release your funds to you",transfer my funds,Fund Management,"there is always a new hoop, they have another excuse",negative,Y,1.0,Y
nan,I've spoken to,Transparency & Communication,so many people,negative,Y,0.0,Y
The process to transfer into my [Company X] pension from older pension was so easy and hassle free,process to transfer,Process & Onboarding,so easy and hassle free,positive ,Y,1.0,Y
"Excellent pension provider,Iâve paid into nest for 10 years now and am always able to see how much Iâve saved towards my retirement itâs also been easy to transfer other pensions into my nest account",transfer other pensions,Fund Management,easy,positive ,Y,1.0,Y
nan,able to see how much I've saved,Website & Usability,always,positive,Y,0.0,Y
nan,pension provider,Trust & Reliability,"excellent, for 10 years",positive,Y,0.0,Y
Always able to log in to the site and any queries are answered as quickly and accurately as possible.,the site ,Website & Usability,Always able to log in,positive,Y,1.0,Y
nan,queries,Customer Support,answered quickly and accurately,positive,Y,0.0,Y
"The service to transfer my pension into nest was fantastic, I only gave the my details and they did the rest.",transfer my pension,Fund Management,fantastic,positive,Y,1.0,Y
nan,Onboarding (implicit),Process & Onboarding,they did the rest,positive,Y,0.0,Y
Transferring can be very stressful nest took thst stress away from me a d dealt with it all,Transferring,Trust & Reliability,"took that stress away, dealt with it all",positive,Y,1.0,Y
I think is the best thing I ever done when I chosen to take up my pot also when I needed help I could withdraw money from my pot,take up my pot,Process & Onboarding,best thing I ever done,positive,Y,1.0,Y
nan,needed help,Fund Management,I could withdraw money,positive,Y,0.0,Y
Making the transfer of another pension was so easy and the funds moved across very quick,Making the transfer,Process & Onboarding,so easy,positive,Y,1.0,Y
nan,the funds,Fund Management,moved across very quick,positive,Y,0.0,Y
I really did not like the process as i could not speak to anyone as it seems to be only on line communication,the process,Process & Onboarding,really did not like,negative,Y,1.0,Y
nan,communication,Customer Support,only on line ,negative,Y,0.0,Y
"Transfer was fine, but canât add the person I would like to leave my money too. Apparently thereâs an error",Transfer,Process & Onboarding,fine,positive,Y,1.0,Y
nan,add beneficiary,Account & Access,error,negative,Y,0.0,Y
Transferring in my other pension was so easy. Gave [Company X] the details and they took care of everything.,Transferring in,Fund Management,so easy ,positive,Y,1.0,Y
nan,Process (implicit),Process & Onboarding,they took care of everything,positive,Y,0.0,Y
Very simple process transferring 2 former pensions to [Company X]. Gave details of company & policy numbers to [Company X] who processed the transfers for me very quickly.,transferring,Process & Onboarding,"Very simple process, very quickly",positive,Y,1.0,Y
"Very simple to transfer my pension into nest, couldn't have been easier.",transfer my pension,Process & Onboarding,"Very simple, couldn't have been easier",positive,Y,1.0,Y
So easy and straightforward to transfer from another pension scheme. So quickly sorted.,transfer from another pension,Process & Onboarding,"So easy and straightforward, so quickly sorted",positive,Y,1.0,Y
"In my opinion, the most important thing is that you are really reliable and everything is understandable",reliability (implicite),Trust & Reliability,reliable,positive ,Y,1.0,Y
nan,clarity (implicite),Transparency & Communication,understandable,positive,Y,0.0,Y
"This company has more than just a few problems. Today, I asked for the forms that I need to transfer the small amount that they hold into my SIPP. The call handler started to tell me about the process and I interrupted him and said I'd done it before and I knew what to do. ""What's that then?"" was the response. So I told him that I would have to be at the end of the assignment, no longer contributing, transferring to a QROPS scheme and one that they could check to ensure compliance and so that neither they nor I could be defrauded. ""That's right"" came the response - and then I was told I can't get the forms because I am still showing on their systems as a contributor. So [Company X] - do you state in your job adverts that it is a requirement that applicants are as obtuse, patronising, time-wasting and unhelpful as possible? I'd say you've cornered the market.",Call centre (implicit),Customer Support,"obtuse, patronising, time-wasting and unhelpful",negative,Y,1.0,Y
Quick & easy to use. Helping you to save for the future. Can check the value is so effect less. Also some great tools for forecasting,Website (implicit),Website & Usability,"Quick & easy to use, great tools",positive,Y,1.0,Y
"Easy to use, loads relevant info, can recalculate end dates, AVCs effects etc, altering regular additional payments and making one off payments easy.
When compared to my other pensions and administrators the Web interface is brilliant.",Web interface,Website & Usability,brilliant,positive,Y,1.0,Y
nan,altering regular additional payments and making one off payment,Fund Management,easy,positive,Y,0.0,Y
"Reliable organisation. Easy to top up my pension, both as an employer and as an employee. I wish there was a way I could set up a regular payment method so I don't have to go in each month to do it.",organisation,Trust & Reliability,Reliable,positive,Y,1.0,Y
nan,top up,Fund Management ,Easy,positive,Y,0.0,Y
I'm ablevto see my contribution and deposit some money into my account every month,see my contributions,Website & Usability,I'm able to,positive,Y,1.0,Y
nan,deposit some money into,Fund Management,every month,positive,Y,0.0,Y
Very simple to transfer funds in and out. No delay or problems. Excellent service.,transfer funds in and out,Fund Management,Very simple,positive,Y,1.0,Y
nan,fund transfer speed (implicit),Fund Management,No delays or problems,positive,Y,0.0,Y
nan,service quality,Trust & Reliability ,Excellent,positive,Y,0.0,Y
I have been saving for my pension since [PhoneNumber]. My pension is building nicely. I recently transferred a frozen pension into this account which went very smoothly.,My pension,Fund Management,building nicely,positive,Y,1.0,Y
nan,transferred a frozen pension,Fund Management,very smoothly,positive,Y,0.0,Y
[Company X] offers a very well communicated service. It is a pleasure to use the service.,communicated service,Transparency & Communication,very well,positive,Y,1.0,Y
nan,use the service,Website & Usability,a pleasure,positive,Y,0.0,Y
"Yet again I am having to write another review after receiving a ridiculous reply from [Company X]. Their reply states nothing other than fobbing off comments and just compounds the extreme frustration and anger that I feel in dealing with the pathetic organisation. My advise, do not invest your money in [Company X]",Their reply,Customer Support,nothing other than fobbing off comments,negative,Y,1.0,Y
nan,pathetic organisation,Customer Support,extreme frustration and anger,negative,Y,0.0,Y
nan,My advise,Trust & Reliability,do not invest,negative,Y,0.0,Y
Easy to transfer and all the funds were in my account and already distributed to several investments.,transfer,Process & Onboarding,"Easy, and already distributed",positive,Y,1.0,Y
The transfer went very well. Quick and easy. Not happy that I was told I can't tax out 25% tax free. National wide would have let me. If I'd known this I wouldn't have transferred from them to nest.,transfer,Process & Onboarding,"very well, quick and easy",positive,Y,1.0,Y
nan,can't tax out,Transparency & Communication,Not happy,negative,Y,0.0,Y
Very easy platform to use and responsive service when you contact them.,platform,Website & Usability,Very easy,positive,Y,1.0,Y
nan,customer service,Customer Support,responsive,positive,Y,0.0,Y
"I was easily able to add extra contributions into my [Company X] Pension. I also moved another pension across, again very easy to achieve.",add extra contributions,Fund Management,easily able to,positive,Y,1.0,Y
nan,moved another pension,Process & Onboarding,very easy to achieve,positive,Y,0.0,Y
Straight forward and easy to do .,Onboarding (implicit),Process & Onboarding,Straight forward and easy,positive,Y,1.0,Y
"Stay away from nest pensions absolutely useless outfit
Good luck getting your money out for a transfer they have all the information but keep stalling with any excuse.
How this is government backed I have no idea, right shower.",getting your money out,Fund Management,keep stalling,negative,Y,1.0,Y
On [Company X] side very helpful and easy to fill out forms for transfer request on the other side a little bit complicated but nest helped out a lot.,transfer request,Fund Management,helpful and easy,positive,Y,1.0,Y
nan,other side,Alternative Provider,a little bit complicated,negative,Y,0.0,Y
Ease of use and able to set up regular top up every month easily,use,Website & Usability,Ease,positive,Y,1.0,Y
nan,regular top up,Fund Management,easily,positive,Y,0.0,Y
Fast and great service transfer transaction [BankDetail] taken care of.,transfer transaction,Fund Management,Fast and great service,positive,Y,1.0,Y
"Trying to get any help from the help desk is a joke, the staff try their best but can't solve issues that are not on their script all you get is a half solution that makes what should be an automated option into more work as you have to input everything manually and this is the only solution the helpdesk offers.",help desk,Customer Support,joke,negative,Y,1.0,Y
Had no isssues emailed through transaction .no problems fast and efficient,transaction,Fund Management,"no issues, fast and efficient",positive,Y,1.0,Y
Transfered another workplace pension from a previous job to my [Company X] pension pot. It was a very easy process and was done quickly too.,process,Process & Onboarding,"very easy, quickly",positive,Y,1.0,Y
I invested more into my pension and I hope perhaps to increase it as time goes on. The website was clear and concise and it was easy to use.,website,Website & Usability,"clear & concise, easy to use",positive,Y,1.0,Y
nan,invested,Fund Management,hope perhaps to increase,neutral,Y,0.0,Y
"Avoid if you can.

Unfortunately have to be with them because of my employer.
They do not offer passive index funds.
They virtue signal to the max with ESG investments only. This is instead of looking after your funds and providing you with good investments and profits(if they reply it will be with some ""clever"" ESG marketing message).
Their website is absolutely horrible and you cannot find basic information about funds, their compositions, performance etc. easily.
Once I change my employment, my pension in [Company X] will be transferred immediately",fund options (implicit),Fund Management,do not offer passive index funds,negative,Y,1.0,Y
nan,investment strategy,Fund Management,virtue signal with ESG investments only,negative ,Y,0.0,Y
nan,website,Website & Usability,"absolutely horrible, cannot find basic information",negative,Y,0.0,Y
"Absolutely appalling service. Trying to withdraw a very small balance has taken over 3 months, they are apparently unable to accept an account which my state pension is successfully paid into each month, have made me jump through hoops to get my own money, and the website crashes every time I attempt to upload yet more documents for them. Frustrating and hopeless, avoid them if you can.",service,Customer Support,"absolutely appalling, frustrating and hopeless",negative ,Y,1.0,Y
nan,withdraw,Fund Management,"taken over 3 months, jump through hoops",negative ,Y,0.0,Y
nan,website,Website & Usability,crashes every time,negative ,Y,0.0,Y
"Transferring an old pension over was so simple and easy to do with [Company X] team and was done in know time at all 10/10
I'd definitely recommend [Company X]
Thank you",Transferring,Process & Onboarding,"so simple and easy, done in no time",positive,Y,1.0,Y
"The customer service is awful and the website impossible to use. Every time you want to email you have to log in, get a passcode, find the email and then respond. It is a colossal waste of time. I had to email three times before they would acknowledge my complaint. My bank incorrectly refused a payment and they would not retake it. Instead they wanted me to log on and go through a ridiculously complex process which kept failing to make the payment, all the time sending threatening emails. I would avoid at all costs.",customer service,Customer Support,awful,negative,Y,1.0,Y
nan,website,Website & Usability,impossible to use,negative ,Y,0.0,Y
nan,complaint,Customer Support,Had to email three times,negative,Y,0.0,Y
nan,make the payment,Fund Management,kept failing,negative,Y,0.0,Y
nan,emails,Transparency & Communication,threatening,negative,Y,0.0,Y
Almost one year I am trying to transfer my pension from other provider to the [Company X] and both sides are very difficult to deal with. Very disappointed and itâs giving me read flags how they will act when comes to get your pension from them .,trying to transfer,Process & Onboarding,very difficult to deal with,negative,Y,1.0,Y
nan,trust (implicit),Trust & Reliability,giving me red flags,negative,Y,0.0,Y
Easy to set up the account and a direct debit. Easy to log in and check your account.,set up the account and a direct debit,Process & Onboarding ,Easy ,positive,Y,1.0,Y
nan,log in and check your account,Account & Access,Easy,positive,Y,0.0,Y
"Terrible. Whilst polite, the customer service team will do nothing more than offer a call-back if you raise an issue - chances of that call happening are around 1 in 10. Allow a few extra months if you are planning to withdraw your funds, they seem to want to keep the pennies for as long as possible. No idea why??
If you need to speak to the support team you should expect a few hours of repetition and contradiction. The online chat is even worse; the operators canât be bothered, in my experience, to read the context of the conversation before jumping in and repeating the FAQ content of their website, verbatim, with the escalation option being a call-back [PhoneNumber] hours later. Rinse and repeat.
Odd that there are zero positive comments posted by customers who wish to withdraw their funds.
Horrible",customer service,Customer Support,will do nothing more than offer a call-back,negative,Y,1.0,Y
nan,withdraw your funds,Fund Management,allow a few extra months,negative,Y,0.0,Y
nan,support team,Customer Support,hours of repetition and contradiction,negative,Y,0.0,Y
nan,online chat,Customer Support,"even worse, can't be bothered",negative,Y,0.0,Y
"If you could minus a star I would, what an incompetent unprofessional company.
I'm not even near retirement age and trying to OPT out is so difficult. Letter arrived more than a month after my stupid employer added me even though I requested not to be added to a pension. Short contract. Now being told wait until your 55 I'm in my early 40s and want money back.",company,Customer Support,incompetent unprofessional,negative,Y,1.0,Y
nan,Opt out,Process & Onboarding,so difficult,negative,Y,0.0,Y
"My experience with transferring into [Company X] was fine, but trying access funds has been incredibly stressful (and has still not been successful). The process has so far taken many months of completing forms and repeatedly giving the same information three or four times (so far). On two occasions (so far) I have had to inform them of their errors. It just goes on and on, but you have no choice other than persevere and hope that eventually, one day you will get your pension. I hope this review will not further delay matters! I also noticed that they respond to positive reviews, but seem to bury their heads in the sand over negative reviews. A decent organisation would embrace negative reviews in order to improve.",transferring into,Process & Onboarding,fine,positive,Y,1.0,Y
nan,access funds,Fund Management,"incredibely stressful, still not been successful)",negative,Y,0.0,Y
"Zero stars or less if possible! Awful company to deal with. Did not send me an information that I had been enrolled with them until after the opt out period. Now refusing to cancel my future contributions. Call staff in India had no interest in helping other than to say,""you should have opted out in the 30days."" Well I would have, had you sent me anything to say had been enrolled with you.

If you care about your employees, avoid avoid avoid",company,Customer Support,Awful,negative,Y,1.0,Y
nan,Call staff,Customer Support,no interest in helping,negative,Y,0.0,Y
Constantly receive emails saying my contribution is late when it has already been paid and taking out of my account,my contribution,Fund Management,late when already paid,negative,Y,1.0,Y
"[Company X] Pensions is a straightforward pension scheme with a user-friendly platform, ideal for managing long-term retirement savings.",pension scheme,Process & Onboarding,straightforward,positive,Y,1.0,Y
nan,platform,Website & Usability,user-friendly,positive,Y,0.0,Y
Easy to deal with and have no worries trusting my pension with them,deal with,Process & Onboarding,Easy,positive,Y,1.0,Y
nan,trusting,Trust & Reliability,no worries,positive,Y,0.0,Y
I found the service I needed very easy to find and only a few details needed to complete the transfer I needed to do. The whole process was easy and I was kept well informed,service,Process & Onboarding,very easy to find,positive,Y,1.0,Y
nan,transfer,Fund Management,few details needed,positive,Y,0.0,Y
nan,communication (implicit),Transparency & Communication,kept well informed,positive,Y,0.0,Y
Just transferred an old pension to [Company X]. Very easy to do and they kept me updated all the way,transferredan old pension,Process & Onboarding,Very easy,positive ,Y,1.0,Y
nan,kept me updated,Transparency & Communication,all the way,positive,Y,0.0,Y
Been putting it off and I didnât need to it was a very easy procedure to transfer another pension pot into my nest pension,procedure,Process & Onboarding,very easy,positive,Y,1.0,Y
"Apparently i have two accounts with nest, one of them I am completely unaware of. I cannot stop the contribution because when i call to opt-out they say that my employer is not listed. I never received a welcome pack for this supposed second account.",unaware,Transparency & Communication,completely unaware,negative,Y,1.0,Y
nan,contribution,Fund Management,cannot stop,negative,Y,0.0,Y
"Oh to wish for a minus 5 star! I turned 55 in April.... 9 months this incompetent company has pushed a walk in front of me to try and get my money .... Did I say My money, when they ask for an annual bank statement... Forget that! Not good enough even though I provided what was asked for... and the certification of ID is joke! This is my money and this unscrupulous company is getting us when we don't want to even pay into a temporary employment pension... last time I looked I have already paid enough for a state pension... then they have the audacity to make us jump through hoops... has I said, just to get my money! Ps the customer service delivery from India is as robotic has expected from a company that is useless!!!",customer service,Customer Support,robotic,negative,Y,1.0,Y
nan,company,Customer Support,incompetent,negative,Y,0.0,Y
nan,certification of ID,Account & Access,joke,negative,Y,0.0,Y
"My pension from my former employer has not been paid since April. The business went into administration in October. He took my pension money out of my wages every week but never paid it. He stole it. I have been in contact with nest on several occasions and all I get is to report it to the pension ombudsman. Which is what I did. I am still getting emails to say he has been reported for non payment.
What about the money he should have paid int my pot. Hoe do I get it it canât be paid directly to me. I ask for help but donât get any.",ask for help,Customer Support,don't get any,negative,Y,1.0,Y
"Easy peasy to top up, or set up a regular payment.","top up, set up a regular payment",Fund Management,easy peasy,positive,Y,1.0,Y
"1. Lack of ability to do partial transfers

If you are a contractor or in certain professions often times [Company X] is the pension provider that is in use. If you have a SIPP then it can be difficult to go through with the transfer process as partial transfers are not permitted.

This can cause such a big headache. You have to close the scheme meaning that you miss out on employer contributions - you then need to organise the movement of the funds out of the scheme and shut the scheme.

When the scheme is reopened you do not have the previous history and have to reset everything up.

I have experienced this taking an exhausting amount of time and that time difference can have a large impact on returns - yes even just a month. I have had to transfer out of many different providers - L and G, AON, Aegon and Aviva aside from [Company X]. [Company X] was the most difficult to deal with and took the longest to organise the transfers. In my husbands case we actually had to complain to a third party.

2. Lack of transparency

Considering the default enrolment for so many it would be good to show the performance against other relatively stable choices on the platform e.g

S & P 500
VHYL
Vanguard Lifestrategy
Other Target Date funds available from Vanguard or Blackrock available on popular SIPP or investment platforms

3) Breath takingly expensive fees

This platform when compared to some other providers would be considered extremely expensive. There are a lot more cost effective options and [Company X] should be made to post comparisons against other major platforms online to give consumers a better understanding of the impact fees can be having on their returns.

4) Doesn't connect to budget apps like money hub

5) Really limited choice of funds

6) Not enough on the platform or not enough
outreach to let consumers know how much of a difference each fund can make to their retirement.

e.g someone aged 25 will miss out on a substantial sum by going into the lower risk fund. Considering the value of the state pension and what many would need even for a minimum retirement more needs to be done here.

7) You can only pick one fund type

There are limited funds but why can someone choose say 10% in lower risk, 45% higher risk and 45% sharia funds. Why only one - for how expensive the fees are why are the red carpet treatments not being rolled out?

I would really like to see the government step in and make improvements .",partial transfer,Fund Management,lack of ability,negative,Y,1.0,Y
nan,transparency,Transparency & Communication,lack of ,negative,Y,0.0,Y
nan,fees,Fund Management,breathtakingly expensive,negative,Y,0.0,Y
nan,budget apps,Website & Usability,Doesn't connect,negative,Y,0.0,Y
nan,choice of funds,Fund Management,Really limited,negative,Y,0.0,Y
nan,the platform,Website & Usability,Not enough,negative,Y,0.0,Y
nan,outreach,Transparency & Communication,not enough,negative,Y,0.0,Y
nan,flexibility (implicit),Fund Management,can only pick one fund,negative,Y,0.0,Y
"Once you are enrolled to them, they will not let you leave. I am trying to transfer out a small pension that I've not even wasn't aware of . They keep rejecting it and sending automatic letters with different excuses. The last one was that I am contributing to their Pension even though the last contribution was in [PhoneNumber]. Slow, unprofessional, and difficult to deal with. I hope that I will be able to close my account with them one day.",trying to transfer out,Fund Management,keep rejecting it,negative,Y,1.0,Y
nan,customer service (implicit),Customer Support,"Slow, unproff","Slow, unprofessional, and difficult to deal with",Y,0.0,Y
[Company X] is good way to save for the future and it is easy to check your projected pension forecast,save for the future,Process & Onboarding,good way,positive,Y,1.0,Y
nan,check your projected pension forecast,Website & Usability,easy,positive,Y,0.0,Y
"I was impressed for the easy access to put my money from deferent pension together ,I will say thank you ð.",put my money from different pensions,Process & Onboarding,easy access,positive,Y,1.0,Y
It was an ok experience. Had a bit of confusion getting logged in. Once that was sorted out things went smoothly.,experience,Process & Onboarding,"ok, smoothly",positive,Y,1.0,Y
nan,getting logged in,Account & Access,a bit of confusion,negative,Y,0.0,Y
"Same experience as many before, [Company X] are making it very difficult to cashout my small pension. Bullshit verification excuses and unnecessarily long processes. I hope to be able to close my account soon. Keep away from the company!!",verification,Account & Access,Bullshit,negative,Y,1.0,Y
nan,cashout,Fund Management,very difficult,negative,Y,0.0,Y
"Another bâ-s up by [Company X]. My Mrs transferring her pension to nhs from this useless organisation and having exactly same problems I had. Took me a year to transfer out of these with repeated requests for more information even though I sent it several times. Even sent it signed for and they still asked for more info!!!! Mrs now having exactly same problem even though she has fully completed all paperwork signed for delivery and again saying need more info. Honestly they are absolutely crap. DONT put your hard earned money into this shower of you know what!!!! No doubt some lame brain will from nest will come on and say weâre sorry to hear your having trouble , give us a ring and we will sort it. Well donât bother because youâll be put through to someone whoâs English is appalling and doesnât have a clue what theyâre saying or doing!!! Had to give a 1star to write review more like -10 CRAP",transfer out,Fund Management,took me a year,negative,Y,1.0,Y
nan,customer service (implicit),Customer Support,"crap, lame brain, don't bother, doen't have a clue",negative,Y,0.0,Y
"Slow response to respond to my request for postal form had to really push to get this sent ,amount still not added to my nest account all this so far has taken at least 6 weeks .Poor service .",response,Customer Support,slow,negative,Y,1.0,Y
nan,amount,Fund Management,still not added to my account,negative,Y,0.0,Y
